, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, fg_13, fg_14, fg_15, fg_16, fg_17, fg_18, fg_19, fg_20, fg_21, fg_22, fg_23, fg_24, fg_25, fg_26, fg_27, fg_28, fg_29, fg_30, fg_31, fg_32, fg_33, fg_34, fg_35, fg_36, fg_37, fg_38, fg_39, fg_40, fg_41, fg_42, fg_43, fg_44, fg_45, fg_46, fg_47, fg_48, fg_49, fg_50, fg_51, fg_52, fg_53, fg_54, fg_55, fg_56, fg_57, fg_58, fg_59, fg_60, fg_61, fg_62, fg_63, , 
character, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.22365451039509882, 0.02745721519122327, 0.043819135855360174, 0.0463792560837499, 0, 0.036009859516740024, 0, 0, 0, 0, 0, 0.021339085795139018, 0.020275193594526376, 0, 0, 0, 0, 0, 0.02917683165705105, 0, 0.01980225242996864, 0.01471958021321553, 0.01617338709324033, 0, 0.012733369866233912, 0.014928536402932355, 0.033115286457587705, 0.03318489810286603, 0.01524384294175026, 0.009907571936988088, 0, 0, 0, 0, 0.018545366387760085, 0.016827199561096545, 0, 0, 0, 0, 0.009707621360853569, 0, 0, , 0.007907175649146734
check, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.016632159437851193, 0.05439910998665498, 0.37987860450697203, 0, 0, 0, 0, 0, 0, 0, 0, 0.0162964959793257, 0, 0, , 0.0015814351298293467
closable, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.019025810504505154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.018641839356377563, 0, 0, , 0.0007907175649146733
color, 0, 0, 0, 0, 0, 0, 0, 0, 0.452251533028672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.024873953538862705, 0, 0, 0, 0, 0, 0, 0, 0.024293741246487817, 0.01805823222491596, 0.01984178731747884, 0, 0.015621515472550803, 0.018314583244719653, 0, 0, 0.01870140668788389, 0.012154778345007387, 0, 0, 0, 0, 0.022751771998609425, 0.020643895611674127, 0, 0, 0, 0, 0.011909475565645441, 0, 0, , 0.004744305389488041
color_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02143820018510816, 0, 0, 0.01854540199307173, 0.021742532547864322, 0, 0, 0, 0.014429794019724357, 0, 0, 0, 0, 0, 0.02450782342431668, 0.5012416226081731, 0, 0, 0, 0.014138577801856204, 0, 0, , 0.002767511477201357
component_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.30694076621153116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.018615466894656534, 0.020454058311959837, 0, 0.016103558781484638, 0.01887972830536, 0, 0, 0.019278488212233134, 0.012529846281474884, 0.04098159884342076, 0.2861817515566397, 0, 0, 0.023453838291574984, 0, 0, 0, 0, 0, 0.012276974033986615, 0, 0, , 0.004348946607030704
constraint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08027693607287503, 0.4622675895348415, 0.45930090710956645, 0.28369354496937926, 0.3343443764030007, 0.12051590117059682, 0, 0, 0, 0.0823716455736698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06401725738541705, 0.06082558078357912, 0, 0, 0, 0, 0, 0, 0, 0.059406757289905916, 0.04415874063964659, 0.04852016127972099, 0, 0.03820010959870174, 0.04478560920879707, 0, 0, 0.045731528825250785, 0.029722715810964265, 0.0972146336466114, 0, 0, 0, 0.05563609916328025, 0.05048159868328964, 0, 0, 0, 0, 0.029122864082560707, 0, 0, , 0.020558656687781507
constraint_java, 0, 0.07547716395353322, 0, 0, 0.06485040618671783, 0.08625475741191257, 0, 0.09375093134762963, 0, 0.08126238381859802, 0.08702543600030911, 0, 0.11962519924207818, 0, 0, 0, 0, 0.05986251840455478, 0, 0, 0, 0.0409155480834617, 0.0652973707486121, 0.06911235058449892, 0.08254498726530253, 0.053660326740158255, 0, 0, 0, 0.08815641626189764, 0, 0.031798577708172404, 0.030213211814849737, 0, 0.08622676043743749, 0, 0, 0, 0.043478045762220446, 0.08764001685917179, 0.02950845545757371, 0.021934478343408417, 0.024100878136302784, 0.07587702743584528, 0.018974714055959026, 0.02224585577073137, 0.049346959839763456, 0.04945069208645046, 0.022715711863572047, 0.014763832863420544, 0.048288339873295956, 0, 0.08052182189322322, 0.08145474008175306, 0.027635498533964995, 0.025075161044450324, 0, 0, 0, 0, 0.014465875209843103, 0, 0, , 0.026884397207098894
constraints, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.29712220540601086, 0.17508529933714115, 0.12622053260381916, 0, 0, 0, 0.08627071510708048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06704752024037908, 0.06370476532861961, 0, 0, 0, 0, 0, 0, 0, 0.06221878169241264, 0.046248998750465085, 0.05081686764371774, 0, 0.040008315352901905, 0.046905540201860475, 0, 0, 0.047896235011669674, 0.062259286677552164, 0.20363259481237936, 0.23700040303489336, 0, 0, 0.05826963911133615, 0.05287114986990326, 0, 0, 0, 0, 0.06100279514561329, 0, 0, , 0.02293080938252553
constraintservice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.045338593801742745, 0, 0, 0, 0.030988562863245618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.024083564083302665, 0.02288284179195609, 0, 0, 0, 0, 0, 0, 0, 0.02234907436847759, 0.01661270575260746, 0.018253490718559442, 0, 0.0143710434511537, 0.016848536370374333, 0, 0, 0.01720439534701499, 0.011181811908209223, 0.03657255800833937, 0, 0, 0, 0.020930536768809946, 0.018991391799198256, 0, 0, 0, 0, 0.01095614514066073, 0, 0, , 0.005930381736860051
constraintsloader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15602293159700545, 0, 0.044186751368678584, 0, 0, 0, 0.030201287858607286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023471712926827194, 0.022301495394660992, 0, 0, 0, 0, 0, 0, 0, 0.021781288514556164, 0.016190654299103255, 0.017789754563593572, 0, 0.014005942192679923, 0.01642049355962276, 0, 0, 0.016767311817636944, 0.010897734164405832, 0.035643419703258405, 0, 0, 0, 0.02039878934623774, 0.018508909015702173, 0, 0, 0, 0, 0.010677800538024695, 0, 0, , 0.006325740519317387
constraintsview, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04989647831355359, 0.16319732995996494, 0.37987860450697203, 0, 0, 0, 0, 0, 0, 0, 0, 0.04888948793797711, 0, 0, , 0.003953587824573367
